,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sl No,Cast Number,Posting Date,Grade,Wt(MT),%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,872,756830,13.04.2024,W000,24.094,0.06,0.14,0.002,0.006,0.001,0.004,0.02,99.767
,873,756834,14.04.2024,W000,29.977,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,874,756838,14.04.2024,W000,24.816,0.06,0.14,0.001,0.005,0.001,0.004,0.02,99.769
,875,756842,15.04.2024,W000,23.565,0.06,0.13,0.002,0.005,0.001,0.004,0.02,99.778
,876,756846,15.04.2024,W000,28.414,0.06,0.13,0.004,0.012,0.001,0.004,0.02,99.769
,877,756850,15.04.2024,W000,29.504,0.06,0.13,0.001,0.004,0.001,0.003,0.02,99.781
,878,756854,16.04.2024,W000,21.813,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,879,756858,16.04.2024,W000,21.916,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,880,756862,16.04.2024,W000,30.907,0.06,0.16,0.002,0.009,0.001,0.004,0.02,99.744
,881,756866,17.04.2024,W000,20.437,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,882,756870,17.04.2024,W000,28.804,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,883,756874,18.04.2024,W000,12.355,0.06,0.12,0.001,0.002,0.001,0.004,0.02,99.792
,884,756878,18.04.2024,W000,22.524,0.05,0.13,0.001,0.003,0.001,0.004,0.02,99.791
,885,756882,18.04.2024,W000,24.491,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,886,756886,19.04.2024,W000,16.083,0.06,0.15,0.001,0.001,0.001,0.004,0.02,99.763
,887,756890,19.04.2024,W000,18.216,0.06,0.13,0.002,0.004,0.001,0.004,0.02,99.779
,888,756894,19.04.2024,W000,30.854,0.06,0.14,0.002,0.004,0.001,0.004,0.02,99.769
,889,756898,20.04.2024,W000,27,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,890,756902,20.04.2024,W000,24.715,0.06,0.13,0.004,0.009,0.001,0.004,0.02,99.772
,891,756908,21.04.2024,W000,28.91,0.06,0.14,0.004,0.008,0.001,0.004,0.02,99.763
,892,756912,21.04.2024,W000,26.83,0.06,0.15,0.002,0.004,0.001,0.004,0.02,99.759
,893,756916,21.04.2024,W000,16.294,0.06,0.15,0.004,0.012,0.001,0.004,0.02,99.749
,894,756920,22.04.2024,W000,29.04,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,895,756924,22.04.2024,W000,24.664,0.06,0.16,0.004,0.011,0.001,0.004,0.02,99.74
,896,756928,23.04.2024,W000,28.974,0.06,0.17,0.002,0.006,0.001,0.004,0.02,99.737
,897,756932,24.04.2024,W000,8.226,0.06,0.15,0.002,0.003,0.001,0.004,0.02,99.76
,898,756936,24.04.2024,W000,26.577,0.06,0.15,0.005,0.01,0.001,0.005,0.02,99.749
,899,756940,24.04.2024,W000,22.159,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,900,756944,25.04.2024,W000,28.985,0.05,0.18,0.004,0.011,0.001,0.004,0.02,99.73
,901,756948,25.04.2024,W000,35.059,0.06,0.17,0.002,0.004,0.001,0.004,0.02,99.739
,902,756952,26.04.2024,W000,24.361,0.05,0.2,0.002,0.004,0.001,0.004,0.02,99.719
,903,756956,26.04.2024,W000,26.377,0.06,0.16,0.002,0.003,0.001,0.004,0.02,99.75
,904,756960,27.04.2024,W000,22.549,0.06,0.15,0.003,0.006,0.001,0.004,0.02,99.756
,905,756964,27.04.2024,W000,26.926,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,906,756968,27.04.2024,W000,28.551,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,907,756972,28.04.2024,W000,36.598,0.05,0.15,0.001,0.002,0.001,0.004,0.02,99.772
,908,756976,28.04.2024,W000,30.105,0.05,0.13,0.001,0.002,0.001,0.003,0.02,99.793
,909,756980,29.04.2024,W000,36.267,0.05,0.17,0.001,0.002,0.001,0.004,0.02,99.752
,910,756984,29.04.2024,W000,28.356,0.06,0.14,0.002,0.005,0.001,0.004,0.02,99.768
,911,756986,30.04.2024,W000,23.831,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,912,756992,30.04.2024,W000,18.637,0.06,0.14,0.002,0.005,0.001,0.004,0.02,99.768
,913,756996,30.04.2024,W000,8.096,0.06,0.16,0.001,0.004,0.001,0.004,0.02,99.75
,914,757000,01.05.2024,W000,28.497,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,915,757004,01.05.2024,W000,23.219,0.06,0.16,0.003,0.008,0.001,0.004,0.02,99.744
,916,757008,02.05.2024,W000,19.879,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,917,757012,02.05.2024,W000,31.401,0.06,0.16,0.002,0.002,0.001,0.004,0.02,99.751
,918,757016,03.05.2024,W000,26.007,0.06,0.14,0.003,0.01,0.001,0.004,0.02,99.762
,919,757020,03.05.2024,W000,16.295,0.05,0.17,0.004,0.009,0.001,0.004,0.02,99.742
,920,757024,03.05.2024,W000,12.106,0.05,0.17,0.003,0.005,0.001,0.004,0.02,99.747
,921,757028,04.05.2024,W000,21.248,0.05,0.14,0.004,0.01,0.001,0.004,0.02,99.771
,922,757032,04.05.2024,W000,20.232,0.06,0.2,0.004,0.009,0.001,0.004,0.02,99.702
,923,757036,05.05.2024,W000,28.209,0.05,0.18,0.001,0.002,0.001,0.004,0.02,99.742
,924,757040,05.05.2024,W000,27.956,0.06,0.18,0.002,0.003,0.001,0.004,0.02,99.73
,925,757044,06.05.2024,W000,30.663,0.05,0.14,0.003,0.007,0.001,0.003,0.02,99.776
,926,757048,06.05.2024,W000,26.435,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,927,757052,07.05.2024,W000,20.094,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,928,757056,07.05.2024,W000,26.663,0.06,0.13,0.003,0.01,0.001,0.003,0.02,99.773
,929,757060,08.05.2024,W000,19.961,0.06,0.13,0.003,0.006,0.001,0.003,0.02,99.777
,930,757064,08.05.2024,W000,31.595,0.06,0.16,0.001,0.002,0.001,0.003,0.02,99.753
,931,757070,09.05.2024,W000,21.954,0.05,0.15,0.001,0.002,0.001,0.004,0.02,99.772
,932,757074,09.05.2024,W000,4.099,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,933,757078,10.05.2024,W000,28.644,0.05,0.13,0.001,0.003,0.001,0.004,0.02,99.791
,934,757082,11.05.2024,W000,8.205,0.05,0.13,0.001,0.002,0.001,0.003,0.02,99.793
,935,757086,11.05.2024,W000,32.921,0.05,0.13,0.001,0.002,0.001,0.003,0.02,99.793
,936,757090,11.05.2024,W000,26.855,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,937,757094,12.05.2024,W000,24.82,0.06,0.16,0.001,0.004,0.001,0.004,0.02,99.75
,938,757098,12.05.2024,W000,24.073,0.06,0.15,0.004,0.009,0.001,0.003,0.02,99.753
,939,757102,13.05.2024,W000,30.82,0.06,0.14,0.001,0.002,0.001,0.03,0.02,99.746
,940,757106,13.05.2024,W000,27.899,0.06,0.13,0.002,0.004,0.001,0.003,0.02,99.78
,941,757110,14.05.2024,W000,27.761,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,942,757114,14.05.2024,W000,28.001,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,943,757118,15.05.2024,W000,25.851,0.05,0.14,0.003,0.009,0.001,0.004,0.02,99.773
,944,757122,15.05.2024,W000,30.248,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,945,757126,15.05.2024,W000,6.202,0.06,0.14,0.001,0.001,0.001,0.004,0.02,99.773
,946,757130,17.05.2024,W000,18.925,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,947,757134,17.05.2024,W000,25.315,0.05,0.15,0.001,0.002,0.001,0.004,0.02,99.772
,948,757138,17.05.2024,W000,22.755,0.05,0.15,0.001,0.002,0.001,0.003,0.02,99.773
,949,757142,18.05.2024,W000,26.765,0.05,0.15,0.001,0.004,0.001,0.003,0.02,99.771
,950,757146,18.05.2024,W000,20.411,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,951,757150,19.05.2024,W000,20.28,0.05,0.13,0.001,0.001,0.001,0.004,0.02,99.793
,952,757154,19.05.2024,W000,18.904,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,953,757158,19.05.2024,W000,4.016,0.06,0.14,0.001,0.001,0.001,0.004,0.02,99.773
,954,757162,21.05.2024,W000,13.444,0.05,0.12,0.002,0.007,0.001,0.003,0.02,99.797
,955,757166,21.05.2024,W000,26.801,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,956,757170,22.05.2024,W000,2.674,0.06,0.14,0.001,0.001,0.001,0.003,0.02,99.774
,957,757174,22.05.2024,W000,19.993,0.05,0.14,0.001,0.001,0.001,0.003,0.02,99.784
,958,757178,22.05.2024,W000,25.468,0.06,0.13,0.001,0.003,0.001,0.003,0.02,99.782
,959,757182,23.05.2024,W000,22.894,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,960,757186,23.05.2024,W000,24.279,0.06,0.13,0.001,0.001,0.001,0.004,0.02,99.783
,961,757190,23.05.2024,W000,28.014,0.06,0.15,0.002,0.004,0.001,0.004,0.02,99.759
,962,757194,24.05.2024,W000,20.239,0.06,0.14,0.001,0.003,0.001,0.003,0.02,99.772
,963,757198,24.05.2024,W000,36.238,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,964,757202,24.05.2024,W000,11.955,0.06,0.14,0.001,0.003,0.001,0.003,0.02,99.772
,965,757206,25.05.2024,W000,26.735,0.05,0.15,0.001,0.002,0.001,0.003,0.02,99.773
,966,757210,25.05.2024,W000,28.124,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,967,757214,26.05.2024,W000,18.077,0.05,0.15,0.001,0.002,0.001,0.003,0.02,99.773
,968,757218,26.05.2024,W000,10.364,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,969,757222,27.05.2024,W000,28.719,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,970,757226,27.05.2024,W000,26.677,0.06,0.14,0.002,0.005,0.001,0.003,0.02,99.769
,971,757230,28.05.2024,W000,26.801,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,972,757236,29.05.2024,W000,32.914,0.06,0.13,0.001,0.004,0.001,0.003,0.02,99.781
,973,757240,29.05.2024,W000,3.709,0.06,0.14,0.002,0.004,0.001,0.004,0.02,99.769
,974,757244,30.05.2024,W000,28.017,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,975,757248,30.05.2024,W000,26.735,0.05,0.13,0.001,0.002,0.001,0.004,0.02,99.792
,976,757252,30.05.2024,W000,4.102,0.05,0.14,0.002,0.005,0.001,0.004,0.02,99.778
,977,757256,31.05.2024,W000,30.91,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,978,757260,31.05.2024,W000,24.25,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,979,757264,01.06.2024,W000,20.424,0.06,0.13,0.003,0.009,0.001,0.003,0.02,99.774
,980,757268,01.06.2024,W000,25.837,0.05,0.14,0.002,0.003,0.001,0.003,0.02,99.781
,981,757272,02.06.2024,W000,20.54,0.06,0.13,0.003,0.009,0.001,0.003,0.02,99.774
,982,757276,02.06.2024,W000,26.68,0.05,0.15,0.002,0.004,0.001,0.003,0.02,99.77
,983,757280,02.06.2024,W000,27.738,0.05,0.12,0.002,0.005,0.001,0.003,0.02,99.799
,984,757284,03.06.2024,W000,24.843,0.06,0.28,0.001,0.003,0.001,0.004,0.02,99.631
,985,757288,03.06.2024,W000,4.102,0.06,0.19,0.003,0.008,0.001,0.004,0.02,99.714
,986,757292,04.06.2024,W000,26.058,0.05,0.15,0.001,0.002,0.001,0.004,0.02,99.772
,987,757296,04.06.2024,W000,26.665,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,988,757300,05.06.2024,W000,30.768,0.06,0.14,0.001,0.003,0.001,0.003,0.02,99.772
,989,757304,05.06.2024,W000,28.677,0.06,0.13,0.002,0.007,0.001,0.004,0.02,99.776
,990,757308,06.06.2024,W000,24.505,0.05,0.15,0.002,0.005,0.001,0.004,0.02,99.768
,991,757312,06.06.2024,W000,22.599,0.05,0.14,0.001,0.004,0.001,0.003,0.02,99.781
,992,757316,06.06.2024,W000,20.376,0.06,0.13,0.001,0.001,0.001,0.003,0.02,99.784
,993,757320,07.06.2024,W000,30.889,0.05,0.14,0.001,0.003,0.001,0.003,0.02,99.782
,994,757324,07.06.2024,W000,28.549,0.06,0.16,0.002,0.003,0.001,0.003,0.02,99.751
,995,757328,08.06.2024,W000,31.535,0.05,0.14,0.001,0.002,0.001,0.003,0.02,99.783
,996,757332,08.06.2024,W000,29.779,0.06,0.19,0.001,0.002,0.001,0.004,0.02,99.722
,997,757336,09.06.2024,W000,20.424,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,998,757340,09.06.2024,W000,16.725,0.06,0.17,0.002,0.006,0.001,0.004,0.02,99.737
,999,757342,10.06.2024,W000,20.02,0.06,0.16,0.001,0.003,0.001,0.003,0.02,99.752
,*00,757346,10.06.2024,W000,40.824,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*01,757348,10.06.2024,W000,18.489,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,*02,757352,11.06.2024,W000,28.46,0.06,0.14,0.002,0.006,0.001,0.003,0.02,99.768
,*03,757354,12.06.2024,W000,24.58,0.06,0.13,0.001,0.001,0.001,0.003,0.02,99.784
,*04,757358,13.06.2024,W000,30.965,0.06,0.15,0.002,0.007,0.001,0.003,0.02,99.757
,*05,757362,13.06.2024,W000,29.862,0.06,0.14,0.002,0.003,0.001,0.004,0.02,99.77
,*06,757366,13.06.2024,W000,10.301,0.06,0.12,0.001,0.002,0.001,0.003,0.02,99.793
,*07,757370,15.06.2024,W000,10.387,0.06,0.14,0.001,0.001,0.001,0.003,0.02,99.774
,*08,757374,15.06.2024,W000,30.307,0.06,0.16,0.002,0.004,0.001,0.004,0.02,99.749
,*09,757378,15.06.2024,W000,22.693,0.07,0.24,0.001,0.002,0.001,0.004,0.02,99.662
,*10,757382,16.06.2024,W000,28.273,0.06,0.19,0.001,0.001,0.001,0.004,0.02,99.723
,*11,757386,16.06.2024,W000,35.078,0.06,0.17,0.001,0.002,0.001,0.003,0.02,99.743
,*12,757390,17.06.2024,W000,24.471,0.06,0.15,0.001,0.003,0.001,0.003,0.02,99.762
,*13,757394,17.06.2024,W000,26.789,0.05,0.17,0.001,0.003,0.001,0.003,0.02,99.752
,*14,757398,18.06.2024,W000,17.866,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*15,757402,18.06.2024,W000,26.7,0.08,0.25,0.001,0.002,0.001,0.004,0.02,99.642
,*16,757406,19.06.2024,W000,31.013,0.06,0.15,0.001,0.001,0.001,0.003,0.02,99.764
,*17,757410,19.06.2024,W000,33.029,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*18,757414,20.06.2024,W000,28.986,0.06,0.13,0.001,0.001,0.001,0.003,0.02,99.784
,*19,757418,20.06.2024,W000,30.741,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,*20,757422,20.06.2024,W000,6.016,0.05,0.13,0.002,0.008,0.001,0.004,0.02,99.785
,*21,757426,21.06.2024,W000,24.997,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,*22,757430,21.06.2024,W000,24.521,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*23,757434,22.06.2024,W000,32.993,0.06,0.19,0.002,0.003,0.001,0.004,0.02,99.72
,*24,757438,22.06.2024,W000,33.042,0.06,0.15,0.002,0.007,0.001,0.004,0.02,99.756
,*25,757442,23.06.2024,W000,33.363,0.05,0.16,0.003,0.008,0.001,0.004,0.02,99.754
,*26,757446,23.06.2024,W000,36.949,0.06,0.18,0.001,0.002,0.001,0.004,0.02,99.732
,*27,757450,23.06.2024,W000,10.312,0.06,0.16,0.002,0.005,0.001,0.004,0.02,99.748
,*28,757454,24.06.2024,W000,32.977,0.05,0.16,0.001,0.002,0.001,0.004,0.02,99.762
,*29,757458,24.06.2024,W000,26.716,0.06,0.16,0.001,0.002,0.001,0.003,0.02,99.753
,*30,757462,25.06.2024,W000,32.895,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*31,757464,26.06.2024,W000,14.921,0.05,0.16,0.001,0.002,0.001,0.003,0.02,99.763
,*32,757468,26.06.2024,W000,28.327,0.06,0.19,0.001,0.001,0.001,0.004,0.02,99.723
,*33,757472,26.06.2024,W000,23.928,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*34,757476,27.06.2024,W000,26.84,0.06,0.21,0.002,0.004,0.001,0.004,0.02,99.699
,*35,757480,27.06.2024,W000,21.514,0.05,0.17,0.001,0.002,0.001,0.003,0.02,99.753
,*36,757484,27.06.2024,W000,4.029,0.05,0.15,0.002,0.005,0.001,0.003,0.02,99.769
,*37,757488,28.06.2024,W000,28.082,0.05,0.13,0.001,0.002,0.001,0.003,0.02,99.793
,*38,757492,29.06.2024,W000,2.676,0.06,0.2,0.003,0.009,0.001,0.004,0.02,99.703
,*39,757496,29.06.2024,W000,34.721,0.06,0.17,0.003,0.011,0.001,0.004,0.02,99.731
,*40,757500,29.06.2024,W000,24.772,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*41,757504,30.06.2024,W000,24.789,0.05,0.15,0.001,0.002,0.001,0.003,0.02,99.773
,*42,757508,30.06.2024,W000,28.832,0.06,0.16,0.001,0.001,0.001,0.004,0.02,99.753
,*43,757512,01.07.2024,W000,16.546,0.06,0.17,0.002,0.003,0.001,0.004,0.02,99.74
,*44,757516,01.07.2024,W000,30.927,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*45,757520,02.07.2024,W000,12.41,0.06,0.16,0.002,0.002,0.001,0.003,0.02,99.752
,*46,757524,02.07.2024,W000,33.107,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*47,757528,03.07.2024,W000,16.667,0.06,0.15,0.002,0.005,0.001,0.004,0.02,99.758
,*48,757532,03.07.2024,W000,30.156,0.06,0.17,0.004,0.014,0.001,0.004,0.02,99.727
,*49,757536,03.07.2024,W000,31.02,0.05,0.15,0.005,0.008,0.001,0.004,0.02,99.762
,*50,757540,04.07.2024,W000,26.963,0.05,0.19,0.003,0.01,0.001,0.004,0.02,99.722
,*51,757544,04.07.2024,W000,26.759,0.05,0.18,0.002,0.006,0.001,0.004,0.02,99.737
,*52,757548,05.07.2024,W000,22.703,0.06,0.15,0.002,0.007,0.001,0.003,0.02,99.757
,*53,757552,05.07.2024,W000,24.668,0.06,0.2,0.003,0.011,0.001,0.004,0.02,99.701
,*54,757556,05.07.2024,W000,24.763,0.06,0.18,0.002,0.007,0.001,0.003,0.02,99.727
,*55,757560,06.07.2024,W000,30.83,0.05,0.18,0.003,0.011,0.001,0.004,0.02,99.731
,*56,757564,06.07.2024,W000,26.721,0.06,0.13,0.001,0.005,0.001,0.003,0.02,99.78
,*57,757568,06.07.2024,W000,10.311,0.06,0.17,0.003,0.01,0.001,0.003,0.02,99.733
,*58,757572,07.07.2024,W000,26.988,0.06,0.16,0.001,0.004,0.001,0.003,0.02,99.751
,*59,757576,07.07.2024,W000,22.285,0.06,0.14,0.003,0.004,0.001,0.004,0.02,99.768
,*60,757580,08.07.2024,W000,26.78,0.05,0.2,0.003,0.011,0.001,0.004,0.02,99.711
,*61,757584,08.07.2024,W000,33.158,0.05,0.17,0.001,0.002,0.001,0.004,0.02,99.752
,*62,757588,08.07.2024,W000,16.254,0.05,0.17,0.003,0.013,0.001,0.004,0.02,99.739
,*63,757592,09.07.2024,W000,28.396,0.06,0.21,0.004,0.011,0.001,0.004,0.02,99.69
,*64,757596,09.07.2024,W000,27.111,0.05,0.14,0.001,0.003,0.001,0.003,0.02,99.782
,*65,757600,10.07.2024,W000,23.31,0.06,0.17,0.001,0.002,0.001,0.004,0.02,99.742
,*66,757604,10.07.2024,W000,8.142,0.06,0.15,0.002,0.009,0.001,0.003,0.02,99.755
,*67,757608,11.07.2024,W000,26.53,0.05,0.15,0.001,0.002,0.001,0.004,0.02,99.772
,*68,757612,11.07.2024,W000,18.591,0.06,0.18,0.001,0.006,0.001,0.003,0.02,99.729
,*69,757616,12.07.2024,W000,32.07,0.06,0.19,0.001,0.003,0.001,0.004,0.02,99.721
,*70,757620,12.07.2024,W000,29.093,0.06,0.18,0.001,0.003,0.001,0.004,0.02,99.731
,*71,757624,13.07.2024,W000,26.617,0.05,0.15,0.002,0.005,0.001,0.004,0.02,99.768
,*72,757628,13.07.2024,W000,24.427,0.06,0.2,0.003,0.008,0.001,0.004,0.02,99.704
,*73,757632,13.07.2024,W000,21.163,0.06,0.16,0.001,0.013,0.001,0.004,0.02,99.741
,*74,757636,14.07.2024,W000,23.161,0.06,0.19,0.002,0.011,0.001,0.004,0.02,99.712
,*75,757640,14.07.2024,W000,31.822,0.05,0.16,0.001,0.001,0.001,0.003,0.02,99.764
,*76,757646,15.07.2024,W000,27.966,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,*77,757650,15.07.2024,W000,26.101,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*78,757654,16.07.2024,W000,12.205,0.06,0.21,0.001,0.005,0.001,0.004,0.02,99.699
,*79,757658,16.07.2024,W000,32.915,0.05,0.16,0.001,0.002,0.001,0.004,0.02,99.762
,*80,757662,16.07.2024,W000,20.586,0.06,0.24,0.002,0.006,0.001,0.004,0.02,99.667
,*81,757666,17.07.2024,W000,29.044,0.05,0.18,0.001,0.003,0.001,0.004,0.02,99.741
,*82,757670,17.07.2024,W000,30.894,0.05,0.14,0.001,0.002,0.001,0.003,0.02,99.783
,*83,757674,17.07.2024,W000,4.122,0.05,0.16,0.002,0.01,0.001,0.004,0.02,99.753
,*84,757680,18.07.2024,W000,24.584,0.06,0.17,0.001,0.002,0.001,0.004,0.02,99.742
,*85,757684,19.07.2024,W000,26.988,0.06,0.18,0.002,0.008,0.001,0.004,0.02,99.725
,*86,757688,19.07.2024,W000,33.154,0.05,0.16,0.001,0.002,0.001,0.003,0.02,99.763
,*87,757692,19.07.2024,W000,22.843,0.05,0.18,0.002,0.008,0.001,0.004,0.02,99.735
,*88,757696,20.07.2024,W000,26.98,0.06,0.2,0.001,0.001,0.001,0.004,0.02,99.713
,*89,757700,20.07.2024,W000,26.325,0.06,0.17,0.001,0.002,0.001,0.004,0.02,99.742
,*90,757704,21.07.2024,W000,29.069,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*91,757708,21.07.2024,W000,29.102,0.06,0.15,0.001,0.001,0.001,0.004,0.02,99.763
,*92,757712,22.07.2024,W000,14.558,0.06,0.2,0.002,0.007,0.001,0.004,0.02,99.706
,*93,757716,22.07.2024,W000,28.602,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,*94,757720,22.07.2024,W000,25.249,0.05,0.18,0.002,0.006,0.001,0.003,0.02,99.738
,*95,757724,23.07.2024,W000,31.296,0.06,0.22,0.003,0.01,0.001,0.004,0.02,99.682
,*96,757728,24.07.2024,W000,10.069,0.06,0.18,0.002,0.007,0.001,0.004,0.02,99.726
,*97,757732,24.07.2024,W000,21.143,0.06,0.23,0.003,0.01,0.001,0.004,0.02,99.672
,*98,757736,24.07.2024,W000,20.694,0.05,0.17,0.001,0.002,0.001,0.004,0.02,99.752
,*99,757740,25.07.2024,W000,27.238,0.05,0.15,0.001,0.002,0.001,0.003,0.02,99.773
,*00,757744,25.07.2024,W000,24.898,0.06,0.17,0.004,0.013,0.001,0.004,0.02,99.728
,*01,757748,26.07.2024,W000,18.87,0.06,0.21,0.001,0.004,0.001,0.004,0.02,99.7
,*02,757752,26.07.2024,W000,29.252,0.06,0.22,0.001,0.002,0.001,0.004,0.02,99.692
,*03,757756,26.07.2024,W000,18.87,0.06,0.22,0.001,0.003,0.001,0.004,0.02,99.691
,*04,757760,27.07.2024,W000,18.757,0.06,0.22,0.002,0.007,0.001,0.004,0.02,99.686
,*05,757764,27.07.2024,W000,30.879,0.06,0.2,0.002,0.002,0.001,0.004,0.02,99.711
,*06,757768,27.07.2024,W000,22.972,0.06,0.21,0.001,0.002,0.001,0.004,0.02,99.702
,*07,757772,28.07.2024,W000,25.251,0.05,0.22,0.001,0.002,0.001,0.004,0.02,99.702
,*08,757776,28.07.2024,W000,20.787,0.05,0.13,0.001,0.002,0.001,0.003,0.02,99.793
,*09,757780,28.07.2024,W000,4.088,0.06,0.2,0.001,0.003,0.001,0.004,0.02,99.711
,*10,757784,29.07.2024,W000,26.962,0.06,0.24,0.001,0.003,0.001,0.004,0.02,99.671
,*11,757788,29.07.2024,W000,28.781,0.06,0.22,0.002,0.006,0.001,0.004,0.02,99.687
,*12,757792,30.07.2024,W000,29.065,0.06,0.26,0.001,0.002,0.001,0.004,0.02,99.652
,*13,757796,30.07.2024,W000,28.151,0.06,0.18,0.003,0.009,0.001,0.004,0.02,99.723
,*14,757800,30.07.2024,W000,2.098,0.06,0.2,0.003,0.012,0.001,0.004,0.02,99.7
,*15,757804,31.07.2024,W000,24.417,0.06,0.19,0.004,0.013,0.001,0.004,0.02,99.708
,*16,757808,31.07.2024,W000,29.302,0.05,0.3,0.003,0.013,0.001,0.005,0.02,99.608
,*17,757812,01.08.2024,W000,23.218,0.05,0.22,0.001,0.002,0.001,0.004,0.02,99.702
,*18,757816,01.08.2024,W000,18.91,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*19,757820,01.08.2024,W000,16.836,0.05,0.2,0.003,0.012,0.001,0.004,0.02,99.71
,*20,757824,02.08.2024,W000,21.947,0.06,0.22,0.003,0.008,0.001,0.004,0.02,99.684
,*21,757828,02.08.2024,W000,27.078,0.06,0.21,0.001,0.002,0.001,0.004,0.02,99.702
,*22,757832,03.08.2024,W000,21.771,0.06,0.21,0.001,0.003,0.001,0.004,0.02,99.701
,*23,757836,03.08.2024,W000,20.837,0.06,0.23,0.001,0.004,0.001,0.004,0.02,99.68
,*24,757840,03.08.2024,W000,29.368,0.06,0.21,0.002,0.006,0.001,0.004,0.02,99.697
,*25,757844,04.08.2024,W000,21.378,0.06,0.17,0.001,0.003,0.001,0.004,0.02,99.741
,*26,757854,05.08.2024,W000,20.348,0.06,0.21,0.001,0.002,0.001,0.003,0.02,99.703
,*27,757858,05.08.2024,W000,9.804,0.06,0.16,0.001,0.002,0.001,0.003,0.02,99.753
,*28,757864,07.08.2024,W000,22.969,0.06,0.2,0.002,0.006,0.001,0.004,0.02,99.707
,*29,757868,07.08.2024,W000,31.171,0.06,0.17,0.002,0.005,0.001,0.003,0.02,99.739
,*30,757872,07.08.2024,W000,13.949,0.06,0.16,0.003,0.009,0.001,0.003,0.02,99.744
,*31,757876,08.08.2024,W000,22.779,0.06,0.21,0.002,0.004,0.001,0.004,0.02,99.699
,*32,757880,08.08.2024,W000,27.073,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*33,757884,09.08.2024,W000,27.066,0.06,0.17,0.002,0.003,0.001,0.003,0.02,99.741
,*34,757888,09.08.2024,W000,25.986,0.06,0.17,0.004,0.014,0.001,0.003,0.02,99.728
,*35,757892,10.08.2024,W000,6.216,0.06,0.2,0.004,0.014,0.001,0.003,0.02,99.698
