EMUL_OIL_L_TEMP_PV_VAL0,STAND_OIL_L_TEMP_PV_REAL_VAL0,GEAR_OIL_L_TEMP_PV_REAL_VAL0,EMUL_OIL_L_PR_VAL0,QUENCH_CW_FLOW_EXIT_VAL0,CAST_WHEEL_RPM_VAL0,BAR_TEMP_VAL0,QUENCH_CW_FLOW_ENTRY_VAL0,GEAR_OIL_L_PR_VAL0,STANDS_OIL_L_PR_VAL0,TUNDISH_TEMP_VAL0,BATH_TEMP_F7_VAL0,BATH_TEMP_F8_VAL0,RM_MOTOR_COOL_WATER__VAL0,ROLL_MILL_AMPS_VAL0,RM_COOL_WATER_FLOW_VAL0,EMULSION_LEVEL_ANALO_VAL0,pctAL
60.35586548,53.89926147,57.16844177,1.757400513,9.206683059,2.029669285,586.6187744,244.340181,1.953109741,2.02513504,696.173584,728.4881592,656.5024414,1.186439514,365.1733398,209.3264771,1213.542725,99.732
60.06871033,54.1313324,57.2170105,1.76250267,9.188213554,2.029669285,596.2801514,243.9195468,1.949245453,2.029371262,702.9924316,728.9605713,598.4567871,1.16289711,353.972168,209.2613525,1212.726807,99.732
60.39823914,54.18414307,57.45951843,1.752281189,9.204298872,2.029064894,599.9200439,243.1189684,1.940843582,2.015987396,697.1125488,723.0621338,642.5009766,1.157381058,344.284668,209.0717773,1214.20459,99.732
60.35952759,54.66690063,57.62426758,1.773180008,9.154421669,2.022418261,599.9029541,241.5529069,1.931720734,2.014415741,691.5949707,717.7073975,647.9846191,1.153419495,319.5361328,208.7688599,1215.308594,99.732
60.44805908,54.95445251,57.69908142,1.771347046,9.188817548,2.01436162,599.9477539,241.492889,1.929428101,2.012123108,688.2946777,716.4044189,673.6169434,1.166463852,319.309082,208.6933594,1213.763672,99.732
60.40911865,55.24047852,57.7169342,1.753120422,9.170379831,2.029266357,599.9475098,241.2741795,1.930244446,2.013580322,694.1564941,720.8167725,696.5563965,1.164777756,328.5424805,208.4028931,1213.709961,99.732
60.49383545,55.40455627,57.98989868,1.779489517,9.14183316,2.014160156,599.9606934,241.7487282,1.936470032,2.009212494,699.4934082,724.1864014,731.9890137,1.159013748,334.21875,208.4646606,1214.747559,99.692
60.39759827,55.63777161,58.04351807,1.78968811,9.105879612,2.023022413,599.8859863,241.2004286,1.927080154,2.005369186,695.4658203,720.4881592,740.331543,1.129056931,323.5473633,208.3723145,1213.786377,99.732
60.40950012,55.70578003,58.12376404,1.77825737,9.159984774,2.023223877,599.9053955,241.2411188,1.919906616,2.00393486,688.6948242,715.8270264,743.7167969,1.139299393,369.1088867,207.953064,1213.793457,99.732
60.48403931,55.80609131,58.2852478,1.770898819,9.155057453,2.022015333,599.876709,241.4135432,1.917575836,2.004404068,695.9406738,719.6644287,744.6396484,1.117961884,381.7480469,208.164978,1211.61084,99.692
60.32763672,55.95080566,58.44308472,1.796894073,9.121837774,2.024029493,575.2215576,240.7686046,1.907600403,2.009126663,700.6408691,723.6519775,743.4145508,1.166727066,325.9692383,207.8426514,1212.735352,99.692
60.27485657,56.00390625,58.5332489,1.797525406,9.144153769,2.029467821,597.932251,241.5462948,1.909303665,2.001157761,693.7910156,719.4945068,746.1970215,1.144975662,380.6884766,207.9039307,1211.245117,99.732
60.21990967,56.05107117,58.58721924,1.769153595,9.145933962,2.013958693,586.7363281,241.0508924,1.910720825,2.002250671,687.9431152,716.5096436,745.3022461,1.188192368,355.1074219,207.9751587,1211.162354,99.692
60.16372681,55.94926453,58.7240448,1.787761688,9.142500732,2.014764309,599.9361572,240.9679862,1.911485672,2.000282288,691.6447754,722.7852783,743.998291,1.184074402,359.1943359,208.178772,1210.532959,99.732
60.32763672,55.95080566,58.44308472,1.796894073,9.121837774,2.024029493,575.2215576,240.7686046,1.907600403,2.009126663,700.6408691,723.6519775,743.4145508,1.166727066,325.9692383,207.8426514,1212.735352,99.692
60.40950012,55.70578003,58.12376404,1.77825737,9.159984774,2.023223877,599.9053955,241.2411188,1.919906616,2.00393486,688.6948242,715.8270264,743.7167969,1.139299393,369.1088867,207.953064,1213.793457,99.732
60.40950012,55.70578003,58.12376404,1.77825737,9.159984774,2.023223877,599.9053955,241.2411188,1.919906616,2.00393486,688.6948242,715.8270264,743.7167969,1.139299393,369.1088867,207.953064,1213.793457,99.732
60.16372681,55.94926453,58.7240448,1.787761688,9.142500732,2.014764309,599.9361572,240.9679862,1.911485672,2.000282288,691.6447754,722.7852783,743.998291,1.184074402,359.1943359,208.178772,1210.532959,99.732
60.39823914,54.18414307,57.45951843,1.752281189,9.204298872,2.029064894,599.9200439,243.1189684,1.940843582,2.015987396,697.1125488,723.0621338,642.5009766,1.157381058,344.284668,209.0717773,1214.20459,99.732
60.35952759,54.66690063,57.62426758,1.773180008,9.154421669,2.022418261,599.9029541,241.5529069,1.931720734,2.014415741,691.5949707,717.7073975,647.9846191,1.153419495,319.5361328,208.7688599,1215.308594,99.732
60.44805908,54.95445251,57.69908142,1.771347046,9.188817548,2.01436162,599.9477539,241.492889,1.929428101,2.012123108,688.2946777,716.4044189,673.6169434,1.166463852,319.309082,208.6933594,1213.763672,99.732
60.40950012,55.70578003,58.12376404,1.77825737,9.159984774,2.023223877,599.9053955,241.2411188,1.919906616,2.00393486,688.6948242,715.8270264,743.7167969,1.139299393,369.1088867,207.953064,1213.793457,99.732
60.44805908,54.95445251,57.69908142,1.771347046,9.188817548,2.01436162,599.9477539,241.492889,1.929428101,2.012123108,688.2946777,716.4044189,673.6169434,1.166463852,319.309082,208.6933594,1213.763672,99.732
60.39823914,54.18414307,57.45951843,1.752281189,9.204298872,2.029064894,599.9200439,243.1189684,1.940843582,2.015987396,697.1125488,723.0621338,642.5009766,1.157381058,344.284668,209.0717773,1214.20459,99.732
60.35952759,54.66690063,57.62426758,1.773180008,9.154421669,2.022418261,599.9029541,241.5529069,1.931720734,2.014415741,691.5949707,717.7073975,647.9846191,1.153419495,319.5361328,208.7688599,1215.308594,99.732
60.49383545,55.40455627,57.98989868,1.779489517,9.14183316,2.014160156,599.9606934,241.7487282,1.936470032,2.009212494,699.4934082,724.1864014,731.9890137,1.159013748,334.21875,208.4646606,1214.747559,99.692
60.28174877,54.9577761,57.94499988,1.775148635,9.156235756,2.021676814,587.694206,242.5395196,1.930511375,2.015100446,695.5376321,722.4011677,672.6711665,1.152688145,350.7265383,208.5767487,1212.90125,99.71195223
60.28442307,54.95500294,57.94137198,1.774682062,9.156566468,2.021862886,587.7346296,242.5768918,1.930239482,2.014965751,695.3263896,722.4752809,673.7127232,1.153079254,350.3088357,208.5993469,1212.893174,99.7116951
60.28070434,54.98204197,57.95459238,1.774842136,9.155937048,2.021935774,587.5347052,242.5429471,1.930157561,2.014804482,695.4758937,722.4486171,671.3792779,1.152447092,351.0939619,208.5930216,1212.954681,99.71196497
60.2812922,54.95587133,57.93746418,1.775113596,9.156271163,2.02192075,587.5031459,242.5454386,1.930347517,2.0148471,695.5359416,722.4548306,671.9246324,1.153225448,350.1424667,208.5964082,1212.900408,99.71177397
60.28139932,54.9600941,57.95852053,1.774722028,9.156751403,2.021911587,587.3932666,242.5545382,1.93045473,2.014751091,695.5872026,722.3972292,671.959186,1.153616604,350.959802,208.5839127,1212.902541,99.71191187
60.28185127,54.9751904,57.94370294,1.774521757,9.155816925,2.021835896,587.701901,242.5555707,1.930164935,2.014536226,695.5609169,722.3541402,673.3020563,1.15310307,350.1496838,208.584213,1212.925034,99.7119881
60.28182201,54.98349592,57.9541408,1.775123537,9.15576212,2.021722701,587.5385209,242.5695195,1.929947358,2.014581231,695.4371548,722.2674543,673.4433702,1.153289658,350.2469798,208.5854609,1212.932459,99.711617
60.2792853,54.95506259,57.9365717,1.775234754,9.156332792,2.021755759,587.7324571,242.5793434,1.930031876,2.014832738,695.5901078,722.4268869,672.4591824,1.153509723,350.2164156,208.5886279,1212.898266,99.71163584
60.28500929,54.98632299,57.93753956,1.775202009,9.157286472,2.021811621,587.5055351,242.5707962,1.930306788,2.014721036,695.423946,722.5070344,671.061381,1.153262603,350.2845665,208.5933885,1212.884082,99.71193957
60.2838653,54.98240667,57.93769121,1.774573495,9.156976203,2.021725653,587.6866692,242.5589876,1.930224745,2.015018131,695.5021804,722.4266933,671.9393835,1.152565396,351.038919,208.5724332,1212.946273,99.71187427
60.27719441,54.95879873,57.9399525,1.774910278,9.155404273,2.02193347,587.7932376,242.522646,1.930735579,2.014615327,695.462318,722.4404684,671.3969783,1.152861491,350.0879015,208.5885597,1212.890782,99.71219696
60.28330953,54.99501514,57.95041148,1.775229748,9.155362842,2.021751161,587.4227463,242.5527125,1.929985267,2.015111783,695.3814755,722.4214134,671.2542099,1.153391523,351.103776,208.5941933,1212.960885,99.71187806
60.28382151,54.97501447,57.95294436,1.775353558,9.156542776,2.021695918,587.5758055,242.5832189,1.930063416,2.014653782,695.4015548,722.3651384,671.2963475,1.152576695,350.5500983,208.5810205,1212.960355,99.71225914
60.28332526,54.95610463,57.95752135,1.77531144,9.155636547,2.021765208,587.5834053,242.5672143,1.930414907,2.014770623,695.4450844,722.3045248,670.8903295,1.153359765,350.8070496,208.5850082,1212.957148,99.71170261
60.2850595,54.96858469,57.96157931,1.774584326,9.156199611,2.021786445,587.6768765,242.530638,1.929959127,2.014969203,695.3829996,722.299025,672.6758572,1.153241748,350.6266883,208.5796551,1212.897637,99.71231821
60.2795901,,,,,,,,,,,,,,,,,
60.28518382,,,,,,,,,,,,,,,,,
60.2803911,,,,,,,,,,,,,,,,,
60.27869216,,,,,,,,,,,,,,,,,
60.28240341,,,,,,,,,,,,,,,,,
60.28498958,,,,,,,,,,,,,,,,,
60.27722773,,,,,,,,,,,,,,,,,
60.28288527,,,,,,,,,,,,,,,,,
60.28164322,,,,,,,,,,,,,,,,,
60.27966674,,,,,,,,,,,,,,,,,
60.27831386,,,,,,,,,,,,,,,,,
60.27727161,,,,,,,,,,,,,,,,,
60.28382083,,,,,,,,,,,,,,,,,
60.28244499,,,,,,,,,,,,,,,,,
60.28250637,,,,,,,,,,,,,,,,,
60.28504386,,,,,,,,,,,,,,,,,
60.28003165,,,,,,,,,,,,,,,,,
60.28113132,,,,,,,,,,,,,,,,,
60.28152706,,,,,,,,,,,,,,,,,
60.28238064,,,,,,,,,,,,,,,,,
60.28212783,,,,,,,,,,,,,,,,,
60.27716377,,,,,,,,,,,,,,,,,
